,직무명,회사명,위치,조건텍스트
246,Backend Developer,레이첼블루,서울.한국,"- 레이첼블루라는 가치소비 커머스 서비스를 운영하고 있습니다.
- 더 많은 사람들이 좋아하는 상품과 서비스를 통해 지구와 이 세상에 조금이라도 기여하고자 하는 꿈이 있습니다.
- 커머스와 IT에 경험이 풍부한 전문가들로 구성된 회사입니다.
- 소수 정예 팀이지만 사업 전략, 서비스와 상품 기획/디자인/개발 역량을 모두 보유하고 있습니다.
주요업무
• Golang + GraphQL + Postgresql을 사용하여 서비스 구축
• 서비스 운영을 위한 Back office 개발
• 서비스 설계부터 출시까지 전 과정 참
자격요건
• 백엔드 개발 경력 3년 이상
• 학습과 성장에 관심이 많고 자기 개발을 위해 꾸준히 노력하시는 분
• 원활한 커뮤니케이션 능력
• Java / Golang / Typescript 3개 언어 중 하나 이상을 능숙하게 사용하실 수 있으신 분
• RDBMS 모델링 및 API 설계 가능하신 분
우대사항
• 컴퓨터공학 전공 혹은 그에 준하는 전공자
• GraphQL API Server 개발에 대한 경험이 있으신 분
• Golang에 대한 경험이 있으신 분
• AWS 환경에서 서비스 운영 경험이 있으신 분
• React/Typescript에 대한 이해 및 개발이 가능하신 분
혜택 및 복지
＜레이첼블루에서 일하기＞

- 유연 근무 제도 파일럿 운영 중
- 리프레시 휴가 추가 제공(연간 최대 5일)
- 3년 이상 근속 시 15일의 안식 휴가와 소정의 휴가비 지원
- 업무 관련 도서 및 콘텐츠 구입비, 스터디 지원
- 업무용 개인 주변기기 구매 예산 부여

＜급여 및 처우＞

- 4대보험 가입 및 퇴직연금제도 운영
- 성과에 따른 인센티브 또는 스톡옵션 부여 기회 제공
- 수습 기간(3개월) 중에도 연봉 감소 없이 월 급여 100% 지급

＜채용 프로세스＞

- 서류 검토
- 코딩 테스트
- 실무 인터뷰
- 종합 인터뷰

* 지원부문에 따라 1차와 2차 인터뷰를 통합하여 진행할 수 있습니다.
* 사전 과제가 있는 경우에는 면접시 면접비를 지급합니다."
247,iOS 개발자(산업기능요원/보충역 지원 가능),비트바이트(플레이키보드),서울.한국,"움직이는 콘텐츠 키보드를 중심으로 모바일 소통 경험을 혁신해온 플레이키보드 팀은 지난 5월, iOS 앱을 정식 출시했습니다 :-)
220개국 200만 유저의 든든한 응원 속에서 역량있는 팀원과 함께 새로운 도전할 분을 모십니다. 

＞ EO 인터뷰: https://youtu.be/6Gwlc8FwPYw



＜채용절차＞

1. 서류 제출
- 경험/경력사항 기재: 프로젝트명, 수행기간, 수행팀/조직의 규모와 나의 역할, 참여율 반드시 기재
- 포트폴리오 링크 필수 기재 및 제출
- 플레이키보드 입사 지원동기, 학습과 성장/발전을 위해 현재 어떤 노력을 하고 계신지 필수 기재

2. 전화 인터뷰
- 서류에서 확인되어야 할 항목이 충분하지 않은 경우 30분 내외의 전화 인터뷰 실시

3. 대면 인터뷰
- 직무(과제) 및 조직 적합성을 확인하기 위한 인터뷰 실시

* 3개월 수습기간 적용
주요업무
- iOS 앱, 키보드 사용성 개선 
- 결제, 설정 등 앱 내 화면/기능 개발, 유지보수
자격요건
- Swift 개발이 가능하신 분
우대사항
- 최소 5인 이상의 조직/팀에서 일해본 경험이 있으신 분
- 확장 가능한 개발을 지향하며, 리팩토링, 버전관리(Git)등 체계적인 코드관리에 익숙하신 분
- 좋은 UI/UX 개발 및 알고리즘, 성능최적화 등에 관심이 많으신 분
- 최신 iOS Framework, 빌드 툴 및 라이브러리에 대한 지식 혹은 학습역량을 갖추신 분
- 신규 서비스를 출시/운영한 경험이 있으신 분
- iOS 키보드 앱 개발 경험이 있으신 분
- 다국어 지원 앱을 개발한 경험이 있으신 분
혜택 및 복지
- 개인 업무용 장비 지원: 노트북, 듀얼 모니터 제공
- 식사 및 간식 제공
- 근속자 지원 및 명절 선물 지원
- 연차 및 법정휴가 준수 / 반차 사용 가능
- 시차출퇴근제(08:30 ~ 11:00 사이 출근)
- 코로나19 대응에 따른 재택근무 시행(비상시)"
248,기술연구소 개발자,코어트러스트,서울.한국,"코어트러스트는 'One Team' 으로 성취하는 것을 목표합니다. 그러기 위해 '성장 마인드셋'을 믿고, 'Agile'한 사고방식을 지향합니다. 이를 위해선 상대방에 대한 '존중'이 필요함을 이해하고 더불어 빠르고 '안전한 소통'을 바탕으로 한 조직문화를 꿈꾸고 있습니다. 개발 중심 조직에서 급변하는 시장에 대응하고자 의지와 목표가 있는 여러분을 모시고 싶습니다.
주요업무
• IPTV DRM  솔루션 H/E 개발 및 유지보수(개발1팀)
• 단말 인증 및 콘텐츠 시청을 위한 라이선스 발급 서버 개발(개발1팀)
자격요건
• 경력 8~12년(과,차장급)
• C/C++ 개발능력 중/상급
우대사항
• SSL/TLS 통신 프로그램 개발 경험(개발1팀)
• 암/복호화 알고리즘에 대한 지식 및 경험(개발1팀)
혜택 및 복지
• 중식제공, 사이닝보너스, 원격근무, 웰컴키트(아이패드)지급, 통신비/독서 지원, 카페음료 지원
• 청년친화 강소기업, 동호회활동, 건강지원금, 청년내일채움공제"
249,iOS 아이폰 앱 개발자 (with swift),네이처크리에이티브,경기.한국,"4년간 서비스를 이어오고 있는 국내 1위 모바일 크레인게임 운영/개발사입니다. 
글로벌 서비스로 확장하여 더 큰 성장을 함께할 멤버를 기다리고 있습니다. Welcome!!
아래 유튜브 영상들을 통해 어떤 컨텐츠인지 확인해보세요~

※ 유튜브 플레이 영상 
https://www.youtube.com/watch?v=ZyhigYgdd-s
https://www.youtube.com/watch?v=DBdU2xHC0Us&t=77s
https://www.youtube.com/watch?v=_RJWVh_eJJE&t=53s
주요업무
• swift 기반 네이티브 모바일게임 iOS 버전 앱개발 및 출시
• 글로벌 출시 이후 업데이트 및 라이브 빌드관리
• 1차 개발은 70% 정도 완료된 상태로 메인담당자로서 업무 진행
• 안드로이드 앱버전은 상용서비스 중이며 웹버전도 서비스 준비 중에 있어 다른 버전을 통한 벤치마크 요소가 풍부함
• IOT 원격 온라인 크레인게임 서비스로 개발 프로세스는 일반 iOS 네이티브앱 개발방식과 동일
자격요건
• iOS 앱 개발 및 출시 경험해보신 분 (개인 프로젝트 출시도 경력으로 인정)
• Swift 프로그래밍 언어로 개발 경험이 있으신 분
• 새로운 도전에 대한 거부감이 없이 적극적인 열정을 가지신 분

＜개발 인프라＞
• O/S : Centos 6.x, Centos 7.x, Raspbian
• RDBMS : Mysql, Redis
• Back End : C, java, javascript, PHP
• Front End : HTML, CSS, Javascript, Android, iOS(swift, Xcode)
• Framework : Vert.x, React.js, Firebase, Google APis.
• admin : 서비스 종합관리 툴
• 분석툴 : Firebase, Adbrix
• 코드관리 :s Git
우대사항
• iOS 앱 런칭 및 운영 경험이 있으신 분
• REST API, Websocket 경험해보신 분
• 오픈 소스 라이브러리 활용이 능숙하신 분
• AWS 등 클라우드 환경에의 배포, 운영 경험이 있으신 분
• 글로벌 서비스(일본, 중화권, 북미/유럽 등)를 경험해보고 싶으신 분
• iOS 버전을 글로벌 콘텐츠로 함께 키우고 함께 성장할 의지가 있는 분
• 상호 피드백에 열려 있고, 원활한 커뮤니케이션과 협업이 가능하신 분
혜택 및 복지
• 신분당선 동천역 바로 앞에 위치해 있어 교통 편리
• 인근에서 유일한 타워형 오피스로 근무에 용이한 편의시설 구비
• 기본 구비된 신형 장비 외에 원하는 스타일로 업무에 필요한 장비 지원
• 업무 관련 교육비 지원
• 탄력근무 가능
• 꼭 필요한 회의와 커뮤니케이션 진행으로 효율성 추구(불필요한 주간/월간 회의 진행하지 않음)
• 설/추석 명절, 창립기념일 선물은 기본
• 풍부한 간식
• 야근 시 식대 지원(기본적으로 야근 없음)
• 자유로운 연차/반차 사용, 자유로운 복장
• 강요하는 회식 및 술자리 문화 없음(워라벨 및 개인 사생활 존중)
• 수평적인 기업문화(개발과 성장에 집중할 수 있는 환경)"
250,백엔드 서버 개발자(Back-end),에이프릴세븐,서울.한국,"""모두에게 잘 어울리는 사람을 이어주고 세상을 더욱 행복하게 만드는 것""
에이프릴세븐은 사용자들이 우리 서비스를 통해 어울리는 사람을 발견하고 소통하며 행복해하는 모습을 보는 것을 가치를 두고 있습니다. 우리는 사용자 중심으로 서비스를 운영하겠다는 마음가짐으로 처음부터 지금까지 올바른 가치를 가지고 성장하기 위해 최선을 다하고 있습니다.

에이프릴세븐은 뛰어난 동료와 함께하기 위해 변화를 긍정적으로 바라보고, 본인의 역할을 전문적으로 또 책임감있게 수행하는 최고의 팀들을 만들어 나가고 있습니다. 팀의 성공을 위해 서로 솔직한 피드백을 주고받을 수 있는 문화, 모두가 공유하고 인지하는 목표를 하나씩 달성해나가는 문화를 모두 함께 만들고 있습니다. 더 나은 조직으로 거듭나고 더 좋은 서비스를 제공하기 위하여 구성원 여러분을 모십니다.

• 전형절차
  - 서류전형 ＞ 임원면접 ＞ 최종합격
    상황에 따라 면접은 비대면으로 진행될 수 있습니다.

• 제출서류
  - 이력서 및 경력기술서(경력기술서는 포트폴리오로 대체 가능)
  - 이력서에 희망연봉 기재 필수
  - 제출하신 입사지원서 내용 중 허위 사실이 있을 경우 채용이 취소될 수 있습니다.

• 고용형태
  - 정규직(3개월 시용근무 후 내부 평가에 따라 전환)
주요업무
• 서비스 API, 백오피스 서버 개발
• Database 설계, 구축, 운영
• 웹서비스 개발
자격요건
• 서버 개발 경력 8년 이상
• PHP, MySQL, Laravel Framework 을 사용한 웹 서비스 개발 경험
• API 서버 설계 및 최적화 경험
• 팀 및 파트 리더의 경험을 해보신 분
우대사항
• 스타트업 경험이 있으신 분
• 클라우드 컴퓨팅 플랫폼 (AWS 등)을 활용한 업무 경험
• Message Queue 시스템 도입 및 활용 경험(RabbitMQ 등)이 있으신 분
• B2C 관련 서비스 경험이 있으시거나 경험해보고 싶으신 분
혜택 및 복지
• 시차출퇴근제 : 7시 ~ 11시 사이 자유로운 출근
• 자유로운 연차 사용 : 연차, 반차, 반반차의 자유로운 사용
• 경조사 지원 : 경조사비 및 경조사 휴가 지원
• 구내식당 : 구내식당에서 무료 점심 제공
• 사내 스낵바 : 자유로이 먹을 수 있는 간식 제공
• 콜라보런치 : 매주 새로운 멤버들과의 점심 수다와 맛집 탐방 지원
• 세미나 교육 지원 : 업무에 필요한 교육 및 세미나 지원
• 도서구입 지원 : 역량 강화를 위한 도서 무제한 지원
• Etc : 4대보험, 퇴직연금은 당연히 기본으로 지원

근무장소 : 에이프릴세븐 본사 (패스트파이브 강남2호점)
 • 강남역 (2호선, 신분당선) 4번 출구 도보 0분 거리"
251,안드로이드 개발자,에이프릴세븐,서울.한국,"""모두에게 잘 어울리는 사람을 이어주고 세상을 더욱 행복하게 만드는 것""
에이프릴세븐은 사용자들이 우리 서비스를 통해 어울리는 사람을 발견하고 소통하며 행복해하는 모습을 보는 것을 가치를 두고 있습니다. 우리는 사용자 중심으로 서비스를 운영하겠다는 마음가짐으로 처음부터 지금까지 올바른 가치를 가지고 성장하기 위해 최선을 다하고 있습니다.

에이프릴세븐은 뛰어난 동료와 함께하기 위해 변화를 긍정적으로 바라보고, 본인의 역할을 전문적으로 또 책임감있게 수행하는 최고의 팀들을 만들어 나가고 있습니다. 팀의 성공을 위해 서로 솔직한 피드백을 주고받을 수 있는 문화, 모두가 공유하고 인지하는 목표를 하나씩 달성해나가는 문화를 모두 함께 만들고 있습니다. 더 나은 조직으로 거듭나고 더 좋은 서비스를 제공하기 위하여 구성원 여러분을 모십니다.

• 전형절차
  - 서류전형 ＞ 임원면접 ＞ 최종합격
    상황에 따라 면접은 비대면으로 진행될 수 있습니다.

• 제출서류
  - 이력서 및 경력기술서(경력기술서는 포트폴리오로 대체 가능)
  - 이력서에 희망연봉 기재 필수
  - 제출하신 입사지원서 내용 중 허위 사실이 있을 경우 채용이 취소될 수 있습니다.

• 고용형태
  - 정규직(3개월 시용근무 후 내부 평가에 따라 전환)
주요업무
• Android 앱 개발
• 앱 리팩토링 및 고도화
자격요건
• Java 및 Kotlin 개발 능숙자
• 안드로이드 개발 경력 3년 이상
• Gradle 오픈 소스 라이브러리 사용 경험
우대사항
• Android 앱 유닛 테스트와 자동 빌드 경험
• HTTP 기반 서버 API 연동 경험
• Git 등 형상관리 도구 / Jira 등 이슈관리 도구 경험
혜택 및 복지
• 시차출퇴근제 : 7시 ~ 11시 사이 자유로운 출근
• 자유로운 연차 사용 : 연차, 반차, 반반차의 자유로운 사용
• 경조사 지원 : 경조사비 및 경조사 휴가 지원
• 구내식당 : 구내식당에서 무료 점심 제공
• 사내 스낵바 : 자유로이 먹을 수 있는 간식 제공
• 콜라보런치 : 매주 새로운 멤버들과의 점심 수다와 맛집 탐방 지원
• 세미나 교육 지원 : 업무에 필요한 교육 및 세미나 지원
• 도서구입 지원 : 역량 강화를 위한 도서 무제한 지원
• Etc : 4대보험, 퇴직연금은 당연히 기본으로 지원

근무장소 : 에이프릴세븐 본사 (패스트파이브 강남2호점)
 • 강남역 (2호선, 신분당선) 4번 출구 도보 0분 거리"
252,iOS 개발자,에이프릴세븐,서울.한국,"""모두에게 잘 어울리는 사람을 이어주고 세상을 더욱 행복하게 만드는 것""
에이프릴세븐은 사용자들이 우리 서비스를 통해 어울리는 사람을 발견하고 소통하며 행복해하는 모습을 보는 것을 가치를 두고 있습니다. 우리는 사용자 중심으로 서비스를 운영하겠다는 마음가짐으로 처음부터 지금까지 올바른 가치를 가지고 성장하기 위해 최선을 다하고 있습니다.

에이프릴세븐은 뛰어난 동료와 함께하기 위해 변화를 긍정적으로 바라보고, 본인의 역할을 전문적으로 또 책임감있게 수행하는 최고의 팀들을 만들어 나가고 있습니다. 팀의 성공을 위해 서로 솔직한 피드백을 주고받을 수 있는 문화, 모두가 공유하고 인지하는 목표를 하나씩 달성해나가는 문화를 모두 함께 만들고 있습니다. 더 나은 조직으로 거듭나고 더 좋은 서비스를 제공하기 위하여 구성원 여러분을 모십니다.

• 전형절차
  - 서류전형 ＞ 임원면접 ＞ 최종합격
    상황에 따라 면접은 비대면으로 진행될 수 있습니다.

• 제출서류
  - 이력서 및 경력기술서(경력기술서는 포트폴리오로 대체 가능)
  - 이력서에 희망연봉 기재 필수
  - 제출하신 입사지원서 내용 중 허위 사실이 있을 경우 채용이 취소될 수 있습니다.

• 고용형태
  - 정규직(3개월 시용근무 후 내부 평가에 따라 전환)
주요업무
• iOS 앱 개발
• 앱 리팩토링 및 고도화
자격요건
• Swift 개발 능숙자
• iOS 개발 경력 3년 이상
• CocoaPods 오픈 소스 라이브러리 사용 경험
우대사항
• iOS 앱 유닛 테스트와 자동 빌드 경험
• HTTP 기반 서버 API 연동 경험
• Git 등 형상관리 도구 / Jira 등 이슈관리 도구 경험
혜택 및 복지
• 시차출퇴근제 : 7시 ~ 11시 사이 자유로운 출근
• 자유로운 연차 사용 : 연차, 반차, 반반차의 자유로운 사용
• 경조사 지원 : 경조사비 및 경조사 휴가 지원
• 구내식당 : 구내식당에서 무료 점심 제공
• 사내 스낵바 : 자유로이 먹을 수 있는 간식 제공
• 콜라보런치 : 매주 새로운 멤버들과의 점심 수다와 맛집 탐방 지원
• 세미나 교육 지원 : 업무에 필요한 교육 및 세미나 지원
• 도서구입 지원 : 역량 강화를 위한 도서 무제한 지원
• Etc : 4대보험, 퇴직연금은 당연히 기본으로 지원

근무장소 : 에이프릴세븐 본사 (패스트파이브 강남2호점)
 • 강남역 (2호선, 신분당선) 4번 출구 도보 0분 거리"
253,메타버스 앱 개발,로콘,서울.한국,"공간으로 나를 표현하고 세상과 소통하는 차세대 소셜 메타버스
주요업무
• 글로벌 출시 신규 메타버스 앱 서비스에 필요한 서버 구조설계 및 API개발
자격요건
• PHP, JAVA, C#.NET 개발 언어중 3년 이상 개발경험이 있는 분
• MVC 패턴 개발과 RDB, NOSQL 환경에서 개발이 가능한 분
• API 개발과 웹서비스 개발이 가능한 분
• 원활한 커뮤니케이션이 가능한 분
우대사항
• 글로벌서비스 개발 경험이 있는 분
• 상용 웹 서비스, 게임 서버 개발 경험 있으신 분
혜택 및 복지
• 재택근무: 주 2회 재택근무 
• 어드벤처 데이: 월 1회 핫플 체험 행사
• 로콘 포인트: 자기개발비 월 10만원 누적사용 가능"
254,메타버스 서버 개발,로콘,서울.한국,"공간으로 나를 표현하고 세상과 소통하는 차세대 소셜 메타버스
주요업무
• 메타버스 멀티 플레이어 서비스를 위한 Backend 서버개발
• 다수의 동시 접속자 처리를 위한 확장 가능한 서버 아키텍처 구성
자격요건
• RDB 기반 서비스 구현 경험
• TCP/IP, Multi-thread 에 대한 기본적인 지식
우대사항
• 모바일 MMORPG 게임 서버 개발 / 유지보수 경험 우대
• 웹 서버 개발 경험자 우대
• 네트워크 엔진 제작 경험 우대
• Video platform / Commerce platform / 영상 컨텐츠 서비스 개발 유경험자 우대
혜택 및 복지
• 재택근무: 주 2회 재택근무 
• 어드벤처 데이: 월 1회 핫플 체험 행사
• 로콘 포인트: 자기개발비 월 10만원 누적사용 가능"
255,백엔드 엔지니어,고이장례연구소,서울.한국,"안녕하세요? 고이 CTO 김소현입니다!

 저와 함께 고이 프로덕트에 대한 Ownership을 가지고 안정적인 서비스를 위해 문화적, 실무적으로 체계를 갖추어 나갈 백엔드 엔지니어가 꼭 필요하다는 판단 아래 이렇게 채용을 진행하게 되었습니다. 합류하시게 된다면 저희 고이에 정식으로 합류하는 두번째 개발자가 됩니다!

 현재 고이에서는 제가 풀스택 개발을 맡고 있으며 파트타임으로 백엔드 엔지니어 한 분과 프론트 엔지니어 두 분이 근무하고 계십니다. 파트타임으로 함께하시는 팀원 분들은 실제 각자의 회사에서 실무를 진행하시고 있는 경력 개발자로서, 메인 개발자인 저, 그리고 저희 팀과 함께 업무를 진행하며 어느 팀보다 효율적이고 효과적인 방식으로 프로덕트 개발에 힘쓰고 있습니다. 그럼에도 서비스 운영의 안정성과 발전을 위해 함께 풀타임으로 백엔드 개발을 담당하실 분을 모시고자 합니다. 스타트업에서 1, 2년 정도 전반적인 서비스 운영을 경험해보셨거나 이에 준하는 경험과 역량을 갖추신 분을 찾고 있습니다.

--
1. 고이 개발팀은 현재

(1) 상조/장례식장/장지 견적 서비스
- 장사데이터(장례식장, 장지, 화장지 시설 및 가격 데이터) 업데이트 및 가공 → 내부 DB 관리
- 유저 식별 및 유저 응답을 통한 견적 산출
- 견적 조회(유저, 오퍼레이션팀 이용)
(2) 장례지도사 조회 서비스
- 소개, 영상, 리뷰 조회
- 리뷰 작성
(3) 장례 정보 컨텐츠

를 담은 프로덕트 v.1.0을 개발하고 있습니다.

2. 개발팀이 일하는 방법(문화)

(1) 현재 시도하면서 정착시키고자 하는 문화는 다음과 같습니다.
a. 2주 단위의 스프린트(Asana 기반이었으나 Tool 논의 중)
- 정기 회의를 통해 업무를 공유하고 개발 태스크를 정립합니다.
- 이로써 2주 단위의 스프린트를 진행하며 효율적으로 개발 업무를 수행합니다.
- 스프린트마다 회고를 통해 업무 방식을 개선해 나갑니다.

b. 적극적 문서화(Notion 기반)
- 회의, 진행 상황, 회고, 스터디 등
- 특정 개인에 대한 의존도를 낮추고 서로의 성장을 도모할 수 있도록 개발팀 전체가 문서화에 적극 참여합니다. 고이 전체도 그렇지만, 개발팀은 특히 문서화를 통해 목표와 요구사항을 명확히 하고 서로의 경험으로부터 성장하고자 노력합니다.

(2) 아래와 같은 생각으로 다음과 같은 문화는 만들 것입니다.
- 아직 완전히 자리 잡은 문화는 없습니다. 계속 고민하고, 시도하며, 회고합니다.
- 내 지인, 형제자매까지도 데려오고 싶게 만드는 최고의 업무 방식, 문화를 만들어 가고자 합니다.
- 팀 구성 상 비동기적으로 업무를 진행할 때가 있어 커뮤니케이션에 조금 더 공을 들입니다. 그러나 명확한 업무 분배, 매주 이루어지는 미팅, 그리고 고이에 대한 애정과 서로 간의 유대감을 바탕으로 효과적으로 협업하고 있습니다.
- 지난 한달 간 프로세스를 진행하면서 앞으로도 이 구조를 안정적으로 가져갈 수 있으며, 이를 위해 전 구성원이 헌신할 것이라는 확신을 갖게 되었습니다.
- 모든 것에 완전히 열려있는 고이에서 좋은 문화를 함께 만들어 나갈 분을 찾습니다.
주요업무
1. 비즈니스 로직을 개발하고, 배포, 테스트, 모니터링/로깅 등 장애 없는 서비스 환경을 구성합니다.

- Django-REST-Framework를 기반으로 백엔드 비즈니스 로직을 개발합니다.
- 데이터 성격에 맞게 PostgreSQL에 데이터를 적재하고 이용하는 코드를 작성합니다.
- 장례 관련 데이터를 주기적으로 업데이트, 가공하며 견적 서비스의 로직을 고도화합니다.
- 시스템 이슈를 추적하고 해결합니다.
- 클라우드 기반의 인프라를 (AWS) 설계하고 관리합니다. 또한 적절한 인프라 서비스를 선택하고 관리합니다.
- 장례지도사 및 관리자의 업무 효율성을 높일 수 있는 Internal Product를 개발하고 고도화합니다.

--
2. 역할을 나누어 살펴보면 아래와 같습니다.

(1) 고이의 팀원으로서
- 전사 목표와 전략에 대한 이해를 바탕으로 개발 업무를 수행하고, 초기 멤버로서 팀의 문화를 함께 만들어 나갑니다.
- 더 나은 제품을 만들기 위해 능동적으로 의견을 제시합니다.

(2) 프로그래머로서
- 기능 추가 / 수정 시에 자연스럽게 단위테스트 작성을 해서 안정적인 서버를 만듭니다
- Django의 기능들을 활용해서 빠르게 프로덕트를 만듭니다
- CS나 내부 운영을 위한 어드민 툴을 만들고 관리합니다

(3) DB 관리자로서
- PostgreSQL 상에서 슬로우쿼리를 추적하고 해결합니다.
- 장애 대비와 모니터링을 하고 장애가 생겼을 때 빠르게 대처합니다.

(4) 인프라 관리자로서
- AWS상에서 적절한 서비스를 선택해서 아키텍쳐를 설계합니다.
- 서비스와 솔루션을 이용해서 개발자를 위한 개발, CICD 등을 구축합니다.

--
3. 채용 절차
서류 전형 → 기술 인터뷰 → 문화 인터뷰 + 조건 협의 → 최종 결정 후 안내

(1) 서류 제출 : 아래 2가지 서류를 hello@goifuneral.co.kr로 보내주세요.
- 기본적인 인적 사항이 담긴 이력서 (github 주소 필수)
- 개발팀 필수 질문에 대한 답변을 포함한 자기소개서

고이 팀원으로서
Q1. 왜 고이 팀에 합류하길 결심하셨나요?

개발 팀원으로서
Q2. 개발팀으로 일하면서 협업 과정에서 있었던 좋았던 경험이나 좋지 않았던 경험과 해당 이슈가 어떻게 해소되었는지 간단히 설명해주세요.

Q3. 백엔드 개발 이외에 관심있는 개발 주제가 있으신가요?
e.g. 프론트엔드(특정 스택), 머신러닝, 알고리즘 등 다른 주제에 관심이 있으시다면 해당 주제를 어느 정도로 알고 어떤 작업을 해보셨는지 간단히 알려주세요.

백엔드 엔지니어로서
Q4. 데이터베이스를 새로 만드는 상황이 아니고, 레거시 데이터베이스나 다른 데이터베이스를 연결할 때 pk가 아닌 다른 필드를 이용해서 foreign key관계를 만들려면 어떻게 해야 할까요?

아래의 코드에서 `Post`의 `Board`에 대한 외래키를 `Board`의 `id` 대신 `path`를 이용해서 연결하도록 고쳐 주시고 간단히 설명해 주세요.

python
from django.db import models

class Board(models.Model):
path = models.CharField(unique=True, max_length=30)
description = models.TextField(blank=True)

class Post(models.Model):
board = models.ForeignKey(Board, on_delete=models.CASCADE)

Q5. 서비스의 성능에서 문제가 발생한 경험, 그리고 이를 해결하기 위해 노력했던 경험에 대해 설명해 주세요. 코드, 데이터베이스, 인프라 등 어느 층위에서 어떤 노력을 통해 해결하셨는지 알려주세요.

- ASAP으로 검토한 뒤 7일 내에 결과를 안내드립니다. 서류 평가를 기다리는 시간이 지원자 분께 불확실성으로 다가올 것을 알기 때문에 최대한 빠르게 검토하기 위해 노력하겠습니다.

(2) 기술 인터뷰(대면)
- CTO를 포함한 개발팀과의 기술 인터뷰를 1~2시간 동안 진행합니다.
- 서류 합격 안내 이후 7일 내에 진행하며, 주중 평일 저녁 또는 주말 오전 시간대를 활용합니다.

(3) 문화 인터뷰 및 조건 협의
- CEO를 포함한 고이 동료 2명과의 **문화 인터뷰 + 조건 협의**를 1시간 동안 진행합니다. 기술 인터뷰 합격 안내 이후 최대 3일 내 진행합니다.
- 지원자님의 자유로운 이야기와 질문에 귀기울입니다.
- 위 과정으로부터 최대 3일 이내 최종 합격 여부를 안내드립니다.
자격요건
a. Django-REST-Framework기반의 백엔드 개발 경험이 있으신 분
- (우대) 단위 테스트 작성이 습관화 된 분이면 더욱 좋아요.

b. HTTP 통신과 REST API
- REST API 에 대해 명확히 이해하고 설계할 수 있어야 해요.
- HTTP response status의 종류를 알고 상황에 맞게 사용할 줄 아셔야 해요.
- (우대) HTTP의 컨텐츠 협상 등을 이용해 서버 부하를 줄이는 등 파인 튜닝 경험이 있으시면 더욱 좋아요.

c. MySQL/PostgreSQL과 같은 관계형 데이터베이스를 사용해보신 분
- (우대) 튜닝이나 슬로우쿼리에 대한 대처 경험이 있다면 더 좋아요.
- (우대) RDB에서 실행 계획 등을 확인해 인덱스를 설계하고 슬로우 쿼리에 대처해 보셨다면 더욱 좋아요.
- (우대) 파라미터 조정이나 세부적인 튜닝, 장애 복구등 운영 경험이 있다면 더욱 좋아요.

d. 클라우드 기반의 인프라를 사용해보신 적이 있으신 분
- AWS를 이용해서 서비스를 배포하고 운영해보신 분을 찾고 있어요.
- 24/7 돌아가는 서비스를 위해 로깅과 알림 등을 설정해 보신 분이 필요해요.
- (우대) 서비스 장애 대처 등의 경험이 있다면 좋아요.
- (우대) 도커와 컨테이너 오케스트레이션 툴을 사용해보셨다면 더욱 좋아요.

e. 개발 환경, 문화에 대해 고민하고 만들어 나가는 것에 즐거움을 느끼시는 분

f. 고이의 비전에 깊이 공감하며, 프로덕트 전반에 대해 같이 고민하고 싶으신 분

g. Ownership을 가지고 서비스를 개발 및 운영해본 경험이 있으신 분
- (우대) 반복적 작업에 피로를 느끼고 자동화한 경험이 있다면 더욱 좋아요.
혜택 및 복지
1. 업무 환경
a. 채용 형태 : 정규직 (3개월 수습)
b. 업무 시간 : 개발팀 협업 시간 (일요일 오후 1시~5시) 필수, 주당 근로 40시간, 코어 타임 기반(오후 1시~5시) 유연 근무제

c. 당연하게 제공하는 것 모음
- 최신 맥북, 듀얼 모니터 지원
- 업무 관련 서적, 강의 구매 비용 지원
- 전사/팀 정기 회의시 식사, 후식 비용 지원
- 온보딩(+1 Month) 기간, 모든 고이 동료와 1on1 식사, 후식 비용 지원
- 1개월마다 연차 1일, 1년 후 연차 15일
- 자율적인 재택 근무 (업무상 필수 협업 및 회의 시엔 대면이 필수적이에요)

d. 당연하지만 제공하지 못하는 것 모음(Series A 투자 유치 후에는....)
- 점심 식사
- 저녁 식사
- 야근 택시비

2. 보상
- 연봉 : 4,000만원 내외 협의, 최대 5,000만원, 스톡옵션 Trade off 논의
- 스톡옵션 : 3개월 이후 논의, 1% 내외(현재 가치 3,100만원) 부여, cliff-vesting(2년-4년)
- 연봉 협상 주기 : 6개월"
