직무명,회사명,위치,자격요건,우대사항
워크라이프 서비스 풀스택 개발자,핀포인트,서울.한국,"
• 풀스택 개발 경력 3 ~ 10 년
• Zero to One 경험이 있으신 분
• 다양한 오픈 솔루션, 기존의 서비스를 활용하여 빠르게 MVP 개발이 가능하신 분
우대사항","
• 각종 데이터 분석 툴 사용 가능
• 스타트업 창업 경험
• 초기 기업에서 성과를 만드신 경험
• 정답을 맞추기보다는 정답을 증명하고 만드실 수 있는 분
• 시작 단계에서 팀원과 합심하여 고객 가치를 창출하고 싶으신 분
• 실수/실패를 두려워하지 않고 자신의 잘못을 인정할 수 있는 용기와 맡은 업무를 완수해내는 책임감
• 팀의 위대함을 알고 훌륭한 협업을 할 수 있는 커뮤니케이션 스킬 보유
혜택 및 복지
• 동종 업계 대비 상위 수준 연봉 보장
• 시작하는 단계에서 다양한 업무 기회 제공 (현재 팀원 7명, 22년 상반기 30명 채용 예정)
• 점심 식사 지원
• 가로수길 대로변 사무실 위치
• 자유로운 출퇴근 시간
• 자유로운 연차 사용
• 300만원 한도 원하는 디바이스 구매 (맥, 노트북, 모니터, 모니터암, 키보드, 마우스 등)
• 수평적 분위기 ('님' 호칭 사용)
• 도서구매비/자기계발비/직무교육 등 월별 15만원 지원


[채용절차]
• 서류전형 → 실무 면접 → 경영진 면접 → 처우협의 → 최종합격."
Reactjs 프론트 개발자,플렉스이엔엠,서울.한국,"
● Next.js SSR 기반의 기술 경험자
● Node.js 서버 경험 우대
혜택 및 복지
ㆍ연금/보험 : 국민연금, 고용보험, 산재보험, 건강보험
ㆍ휴무/휴가행사 : 주 5일 근무, 경조휴가, 노동절 휴무
ㆍ보상/수당/지원 : 인센티브제, 자기계발비 지원, 연월차수당, 명절 귀향비 지급, 휴가비 지원
ㆍ교육/연수 : 신입사원 교육(OJT)
ㆍ사내시설, 장애인 지원 : 카페테리아
ㆍ생활편의/ 여가행사 : 건강검진, 중식제공",
"응용소프트웨어 개발자, C/C++ 개발자 (신입)",비드박스,서울.한국,"
• C/C++을 사용한 응용프로그램 개발 경험이 있으신 분 
• 커뮤니케이션 능력이 좋으신 분 
• C/C++ 소스코드 분석및 응용 능력 (중급 이상)
• 기업부설연구소 전문연구원 자격 조건 충족하시는 분
우대사항","
• MFC 및 Win32 API로 어플리케이션 개발 경험이 있으신 분
• 오픈 소스(FFMPEG, OpenGL) 활용 경험이 있으신 분
혜택 및 복지
• 4대보험, 퇴직연금
• 주5일 근무, 탄력근무제, 월차, 연차, 반차, 경조 휴가, 휴일근무수당
• 업무 관련 도서구입비 지원.
• 중식, 간식, 석식 제공
• 미국본사 연수 기회"
"응용소프트웨어 개발자, C/C++ 개발자",비드박스,서울.한국,"
• C/C++을 사용한 응용프로그램 개발 경험이 있으신 분 
• 커뮤니케이션 능력이 좋으신 분 
• C/C++ 소스 코드 분석 및 응용 능력 (중. 상급 이상)
• 기업부설연구소 전문연구원 자격 조건 충족하시는 분
우대사항","
• MFC 및 Win32 API로 어플리케이션 개발 경험이 있으신 분
• 오픈 소스(FFMPEG, OpenGL) 활용 경험이 있으신 분
혜택 및 복지
• 4대보험, 퇴직연금
• 주5일 근무, 탄력근무제, 월차, 연차, 반차, 경조 휴가, 휴일근무수당
• 업무 관련 도서구입비 지원
• 중식, 간식, 석식 제공
• 미국본사 연수 기회"
ARKit iOS 앱 개발자,피니뷰,서울.한국,"
• iOS 실무 개발 및 배포 경력이 3년 이상임
• ArKit으로 개발 경력을 보유하신 분(필수)
우대사항","
[우대사항]
ㆍ3D모델링과 인공지능(Deep Learning, Machine Learning)에 이해도가 있으신분
ㆍ모바일(ios) 플랫폼에 대한 이해와 개발 경험

[직위/연봉]
ㆍ선임연구원~책임연구원
ㆍ면접 후 개별협상(이전연봉 고려 +@)
혜택 및 복지
• 자유로운 연차사용
• 탄력근무제
• 복지몰운영
• 인재추천제도 : 포지션별로 인재를 추천후 채용시 1인당 100만원 지급, 채용된 인원이 1년이상 근무시 200만원 지급
• 리프레쉬제도 : 별도 연차외 안식주제공, 2년이상 근무시 일주일의 리프레쉬 휴가 제공, 몸과 마음에게 휴식을 ! 
• 야근없는문화 : 정시퇴근!
• 휴게실, 회의실, 공기청정기, 스마트기기, 노트북, 사무용품 지급, 최고 성능 컴퓨터
• 커리어 성장을 지원: 사원의 커리어 성장이 곧 회사의 성장이 된다는 믿음으로 업무능력 향상을 위해 노력하는 직원에 지원을 아끼지 않는 문화"
시스템기획자,피니뷰,서울.한국,"
• 3D 또는 IT 서비스 업계 경력 3년이상이신분
• 추상화된 디렉션을 새로운 시스템으로 설계하고 조율하는 능력
• 다양한 시스템/컨텐츠를 포괄적으로 바라보면서 조율하여 기획하는 능력
• 확장성과 범용성을 고려하여 시스템 설계하는 능력
• 새로운 기술에 대한 호기심과 즐겁게 일하실 분
• 최고의 서비스를 지향하며 적극적으로 협력제휴사 및 동료들과 커뮤니케이션할 수 있는 분
우대사항","
[우대사항]
• 3D 업계 경력 3년이상이신분
• 시스템개발 경력이 있으신 분
• 포트폴리오 필수

[직위/연봉]
• 선임연구원~책임연구원
• 기존연봉고려 +@
혜택 및 복지
• 자유로운 연차사용
• 탄력근무제
• 휴게실, 회의실, 공기청정기, 스마트기기, 최신 노트북, 사무용품 지급, 최고 성능 컴퓨터
• 복지몰운영
• 인재추천제도 : 포지션별로 인재를 추천후 채용시 1인당 100만원 지급, 채용된 인원이 1년이상 근무시 200만원 지급
• 리프레쉬제도 : 별도 연차외 안식주제공, 2년이상 근무시 일주일의 리프레쉬 휴가 제공, 몸과 마음에게 휴식을 ! 
• 야근없는문화 : 정시퇴근
• 커리어 성장을 지원: 사원의 커리어 성장이 곧 회사의 성장이 된다는 믿음으로 업무능력 향상을 위해 노력하는 직원에 지원을 아끼지 않는 문화"
개발본부 SM팀 팀장급(5~10년 내외),코디더매니저,서울.한국,"
• 개발 경력 약 5~10년 내외 유경험자(경력은 유연하게 반영합니다.)
• JAVA, C##
우대사항","
• 정보처리기사 자격 보유자
• 해당 업무 유경험자
혜택 및 복지
• 출퇴근 : 출퇴근 유연제 : 09:00~18:00, 10:00~19:00 선택근무 
* 수평적 조직문화(영어이름 00님), 자유로운 연차사용
* 노트북지급, 자유복장, 건강검진, 각종 경조사 지원, 
* 퇴직연금, 퇴직금, 당직수당, 4대 보험
* 명절선물, 생일축하금/파티, 생일자 조기퇴근
* 워크샵, 플레이샵, 신입사원교육(OJT), 직무능력향상교육, 도서구입비지원, 교육비 지원, 점심식사 제공, 음료제공(차, 커피), 컨퍼런스 개최
*근무 환경 : 회의실, 공기청정기, 노트북, 자회사 제품할인, 협력호텔 할인권, 사무용품 지급
* 회식강요 안함, 야근강요 안함, 자유복장, 경조휴가제, 반차, 대체휴무일 휴무
•"
ARCore 안드로이드 앱개발자,피니뷰,서울.한국,"
• 안드로이드 실무 개발 및 배포 경력이 3년 이상
• ARCore로 개발 경력을 보유하신 분(필수)
우대사항","
[우대사항]
ㆍ3D모델링과 인공지능(Deep Learning, Machine Learning)에 이해도가 있으신분
ㆍAR관련 모바일(Android) 플랫폼에 대한 이해와 개발 경험

[직위/연봉]
ㆍ선임연구원~책임연구원
ㆍ면접 후 개별협상(이전연봉 고려 +@)
혜택 및 복지
• 자유로운 연차사용
• 탄력근무제
• 복지몰운영
• 인재추천제도 : 포지션별로 인재를 추천후 채용시 1인당 100만원 지급, 채용된 인원이 1년이상 근무시 200만원 지급
• 리프레쉬제도 : 별도 연차외 안식주제공, 2년이상 근무시 일주일의 리프레쉬 휴가 제공, 몸과 마음에게 휴식을 ! 
• 휴게실, 회의실, 공기청정기, 스마트기기, 노트북, 사무용품 지급, 최고 성능 컴퓨터
• 커리어 성장을 지원: 사원의 커리어 성장이 곧 회사의 성장이 된다는 믿음으로 업무능력 향상을 위해 노력하는 직원에 지원을 아끼지 않는 문화"
Backend Server 개발자( 5년이상),피니뷰,서울.한국,"
• Java, Spring Framework 경험
• AWS Cloud 경험
우대사항","
[우대사항]
ㆍ Spring Boot, Message Queue경험
ㆍ 소프트웨어 등 IT 전공자 선호
• 5년이상~12년 경험자
[직위/연봉]
ㆍ선임연구원~책임연구원
ㆍ면접 후 개별협상(이전연봉 고려 +@)
혜택 및 복지
• 자유로운 연차사용
• 탄력근무제
• 복지포인트운영
• 인재추천제도 : 포지션별로 인재를 추천후 채용시 1인당 100만원 지급, 채용된 인원이 1년이상 근무시 200만원 지급
• 리프레쉬제도 : 별도 연차외 안식주제공, 2년이상 근무시 일주일의 리프레쉬 휴가 제공, 몸과 마음에게 휴식을 ! 
• 휴게실, 회의실, 공기청정기, 스마트기기, 노트북, 사무용품 지급, 최고 성능 컴퓨터
• 커리어 성장을 지원: 사원의 커리어 성장이 곧 회사의 성장이 된다는 믿음으로 업무능력 향상을 위해 노력하는 직원에 지원을 아끼지 않는 문화"
Product Development Manager (제품 기획 매니저),노을(Noul),경기.한국,"
- 영어 능통자 (Native)
- 3년 이상의 바이오/제약/기술개발/서비스/상품기획/프로젝트 관리 경력 
- 전략적 판단과 액션 플랜의 기획, 실행력
- 스타트업 환경 및 기술기반 스타트업에 대한 이해 
- 다양한 구성원들과 조화롭게 커뮤니케이션 할 수 있는 역량  
- 빠른 환경 변화에 적합한 결정을 할 수 있는 판단력과 사고력 
- 주도적으로 업무를 추진할수 있는 분 
- 도전 의식과 회복 탄력성이 높은 분 
- 잘 듣고 커뮤니케이션할 수 있는 기술이 있는 분 
- 근거를 가지고 이해관계자를 설득할 수 있는 분
우대사항","
- ISO13485 (의료기기품질경영시스템, 이하 QMS)에 대한 이해 및 작성 가능하신 분
- 미국 출장(1개월~3개월)에 지장이 없으신 분
- 업무 경계를 구분하지 않고 맡은 제품에 대한 높은 책임감과 애정이 있으신 분
- 제품을 초기부터 제품을 기획하고 출시까지 진행한 성장/운영 사이클을 경험해 보신 분
혜택 및 복지
• 월별 복지포인트 부여
• 자기주도적이고 자율적으로 사고하고 행동할 수 있는 분위기
• 자율과 책임의 균형을 지향하는 근무제도 (출퇴근, 휴가 등)
• 업무 및 회사의 운영에 관한 다양한 참여 기회
• 점심 식사 전액 지원, 간식 지원
• 건강검진비
• 교통비, 통신비, 도서구입비 등 직간접 지원
• 경조비, 명절 선물 등

 

※전형절차

1차 서류접수 및 심사
2차 실무면접 (실무진): 경력관련 PT 면접
3차 인성면접 (임원진)
최종합격 발표"
쇼핑몰 개발/운영(JAVA 개발),아이마켓코리아,서울.한국,"
• 초대졸 이상
• WEB, JAVA, JSP 개발경력 5년이상
• ORACLE DB 사용 경험자
• 쇼핑몰 운영 개발 경력자
• 병역필 또는 면제자로 해외여행에 결격사유가 없는 사람
우대사항","
• Spring framework 사용 경험자 우대
• 모바일웹 개발 경력자 우대
• 전산 전공자, 관련 자격증 소지자 우대
  (정보처리기사, 기술사, OCP 등)
혜택 및 복지
• Work & Life Balance 준수 (2018 노사문화 우수기업 선정,2019 국무총리상 수상)
• 시차 출근제도 운영 (① 08:00 ~ 17:00 ② 08:30 ~ 17:30 ③ 09:00 ~ 18:00)
• 건강 : 단체보험, 의료비 지원, 종합건강검진(배우자 격년), 구내식당 운영, 심리상담 프로그램 지원
• Refresh : 사내동호회, 장기근속 포상, 회사 휴양지(콘도/리조트), 문화생활 지원(공연할인), 복지포인트 지급
• 경조사 : 경조휴가 및 경조금, 상조서비스 지원
• 생활안정 : 자녀 학자금, 개인연금보험 , 명절 선물"
백엔드 개발자 (Back-end Developer),헥슬란트,서울.한국,"
· 고가용성의 확장 가능한 시스템 설계/운영 경험 있는 분
· 대규모의 실시간 트래픽을 처리하는 시스템 개발 경험 있는 분
· Node.js, Typescript 기반의 개발 경험 있는 분
· Mission-Critical 한 서비스 운영 환경을 즐기며 높은 책임감으로 탄탄한 서비스를 같이 만들어 갈 수 있는 분
·  성능최적화와 운영자동화를 위한 지속적인 노력을 하는 분
우대사항","
· 블록체인 서비스 개발 및 서비스 경험
· 실패를 두려워하지 않고 빠르게 실행하고 효율을 분석하는 분
혜택 및 복지
· 듀얼 모니터, iMac 지급
· 스터디 모임 지원, 세미나 참가비 지원, 업무용 도서 구입비 지원
· 자유로운 연차 시스템
· 자율 출근제(오전 9시~오전 11시) 
· 종합 검진 제공, 경조사비, 4대 보험"
프론트엔드 개발자,이지스엔터프라이즈,서울.한국,"
• 모바일 Native개발 및 웹개발 경험을 모두 보유하신 분
• 필수기술
- Web : java, asp, php, vue, react 등
- App(iOS) : swift
- App(Android) : java, flutter 등
우대사항","
• 관련 전공자 우대
• 모바일플랫폼 서비스 런칭 및 운영 경험자 우대
혜택 및 복지
• 임직원 건강검진 지원 (본인 이외 배우자 및 직계가족 1인 포함)
• 임직원 의료비 지원 (본인 이외 배우자 및 직계가족)
• 장기근속휴가 및 포상금 지원
• 임직원 자기개발비 지원
• 식대지원 (페이코포인트 지급)"
Web 시스템 개발/운영,아이디에스앤트러스트,서울.한국,"
[저희는 이런 분을 찾고 있습니다!]
1) 기업용 Web 환경을 구축해보신 분
2) Java(Spring), JQuery, HTML5/CSS 개발 경력이 3년 이상이신 분
3) RDBMS, Linux 운용을 해보신 분
우대사항","
[이런분이라면 적극환영!]
1) 제약 산업군 IT(전산) 경력이 있으신 분
2) 프로젝트 PL 이상 경험이 있으신 분
3) DB설계 경험이 있으시거나 가능하신 분
4) Git, Jenkins 사용 경험이 있으신 분
5) 전산 관련 전공을 하신 분
혜택 및 복지
● 조직문화
 • 수평적 조직문화 : 직급이 아닌 상호 간 '님'으로 호칭합니다.
 • 자유로운 연차사용 : 연차 사용 시 사유불문! 자유로운 연차 사용이 가능합니다.
 • 사내 식당에서 맛있는 중식/석식 제공해드립니다.
 • 식사 대신 간편식을 즐길 수 있습니다.

● 근무환경
 • 스마트 오피스 : 자율 좌석을 통해 스마트한 근무환경 제공합니다.
 • 사내 어린이집 : 육아 걱정없는 업무 몰입을 위해 사내 어린이집을 운영합니다.
 • 까페테리아  : 임직원 가격으로 할인된 가격에 음료를 제공해드립니다.
 • 안마 의자 및 캡슐룸 : 근무 중 피로 회복/휴식을 위한 시설을 제공해드립니다.

● 교육/생활
 • 신입사원교육(OJT)운영을 통해 원활한 적응을 도와드립니다.
 • 사내/외 교육, 사이버 연수원 등 교육비 지원 등 다방면으로 성장을 지원합니다.
 • 사내 동호회를 통해 친목을 도모합니다. 

● 지원금/보험
 • 종합건강검진
 • 경조금 지원 : 좋은 날엔 축하금을, 슬픈 날엔 위로금 지원합니다.
 • 임직원몰 : 사내 임직원몰 내 다양한 상품을 직원가에 구입이 가능합니다.
 • 자녀의 학자금을 지원해드립니다.
 
● 선물
 • 명절선물 : 다양한 품목 중 선택하여 상품을 지급해드립니다.
 • 생일자 조기퇴근제 : 생일 당사자 조기 퇴근이 가능합니다.
 • 장기근속제도 : 5/10/20년 장기 근무 시 포상금을 지급해드립니다."
IT솔루션(그룹웨어/Java/Web)개발자,아이디에스앤트러스트,서울.한국,"
[저희는 이런 분을 찾고 있습니다!]
1) 관련 업무 경력이 5년 이상이신 분
2) Java, JSP, Javascript를 능숙하게 다루시는 분
3) Maven, Eclipse 개발도구 경험이 풍부하신 분
4) SCM(Git 혹은 SVN)을 이용한 소스관리 경험이 있으신 분
5) Spring framework 기반 jQuery 활용이 가능하신 분
6) DBMS(Oracle 등) SQL 가능하신 분
7) linux 사용이 가능하신 분
우대사항","
[이런 분이라면 대환영!]
1) 개발 분석/설계가 능숙하신 분
2) Java Open Source 라이브러리 사용이 능숙하신 분
3) Apache Tomcat 연동 및 운영관련 경험이 있으신 분
혜택 및 복지
● 조직문화
 • 수평적 조직문화 : 직급이 아닌 상호 간 '님'으로 호칭합니다.
 • 자유로운 연차사용 : 연차 사용 시 사유불문! 자유로운 연차 사용이 가능합니다.
 • 사내 식당에서 맛있는 중식/석식 제공해드립니다.
 • 식사 대신 간편식을 즐길 수 있습니다.

● 근무환경
 • 스마트 오피스 : 자율 좌석을 통해 스마트한 근무환경 제공합니다.
 • 사내 어린이집 : 육아 걱정없는 업무 몰입을 위해 사내 어린이집을 운영합니다.
 • 까페테리아  : 임직원 가격으로 할인된 가격에 음료를 제공해드립니다.
 • 안마 의자 및 캡슐룸 : 근무 중 피로 회복/휴식을 위한 시설을 제공해드립니다.

● 교육/생활
 • 신입사원교육(OJT)운영을 통해 원활한 적응을 도와드립니다.
 • 사내/외 교육, 사이버 연수원 등 교육비 지원 등 다방면으로 성장을 지원합니다.
 • 사내 동호회를 통해 친목을 도모합니다. 

● 지원금/보험
 • 종합건강검진
 • 경조금 지원 : 좋은 날엔 축하금을, 슬픈 날엔 위로금 지원합니다.
 • 임직원몰 : 사내 임직원몰 내 다양한 상품을 직원가에 구입이 가능합니다.
 • 자녀의 학자금을 지원해드립니다.
 
● 선물
 • 명절선물 : 다양한 품목 중 선택하여 상품을 지급해드립니다.
 • 생일자 조기퇴근제 : 생일 당사자 조기 퇴근이 가능합니다.
 • 장기근속제도 : 5/10/20년 장기 근무 시 포상금을 지급해드립니다."
"Salesforce CRM 구축, 개발, 운영",아이디에스앤트러스트,서울.한국,"
[저희는 이런 분을 찾고 있습니다!]
1) Salesforce Lightning Platform 기반 솔루션을 개발/운영해본 경험 3년 이상이신 분
2) Apex, LWC, Dataloader 활용이 가능하신 분
3) DB스키마 설계가 가능하신 분
4) 객제 치향적 개발이 가능하신 분
우대사항","
[이런분이시라면 대환영!]
1) Salesforce 프로젝트 PL이상 경험이 있으신 분
2) Salesforce Admin/Developer 자격증 보유하신 분
3) CRM 비즈니스 컨설팅이 가능하신 분
혜택 및 복지
● 조직문화
 • 수평적 조직문화 : 직급이 아닌 상호 간 '님'으로 호칭합니다.
 • 자유로운 연차사용 : 연차 사용 시 사유불문! 자유로운 연차 사용이 가능합니다.
 • 사내 식당에서 맛있는 중식/석식 제공해드립니다.
 • 식사 대신 간편식을 즐길 수 있습니다.

● 근무환경
 • 스마트 오피스 : 자율 좌석을 통해 스마트한 근무환경 제공합니다.
 • 사내 어린이집 : 육아 걱정없는 업무 몰입을 위해 사내 어린이집을 운영합니다.
 • 까페테리아  : 임직원 가격으로 할인된 가격에 음료를 제공해드립니다.
 • 안마 의자 및 캡슐룸 : 근무 중 피로 회복/휴식을 위한 시설을 제공해드립니다.

● 교육/생활
 • 신입사원교육(OJT)운영을 통해 원활한 적응을 도와드립니다.
 • 사내/외 교육, 사이버 연수원 등 교육비 지원 등 다방면으로 성장을 지원합니다.
 • 사내 동호회를 통해 친목을 도모합니다. 

● 지원금/보험
 • 종합건강검진
 • 경조금 지원 : 좋은 날엔 축하금을, 슬픈 날엔 위로금 지원합니다.
 • 임직원몰 : 사내 임직원몰 내 다양한 상품을 직원가에 구입이 가능합니다.
 • 자녀의 학자금을 지원해드립니다.
 
● 선물
 • 명절선물 : 다양한 품목 중 선택하여 상품을 지급해드립니다.
 • 생일자 조기퇴근제 : 생일 당사자 조기 퇴근이 가능합니다.
 • 장기근속제도 : 5/10/20년 장기 근무 시 포상금을 지급해드립니다."
정보보안솔루션부문,아이디에스앤트러스트,서울.한국,"
[저희는 이런 분을 찾고 있습니다!]
1) End-Point 보안 솔루션 운영 경력이 ""2년 이상""이신 분
2) 기초 네트워크, 시스템 지식을 보유하고 계신 분
3) 오픈 마인드 협업 등 소통에 능하신 분
4) 함께 성장하는 것을 목표로 학습하고 공유하는 것을 추구하는 분
우대사항","
[이런분이라면 적극환영!]

1) 보안정채 수립/운영 경험이 있으신 분(보안 정책,지침 수립 및 관련 교육 경험)
2) End-Point 보안 솔루션 구축 프로젝트 경험이 있으신 분
3) 서버, 네트워크 보안 경험이 있으신 분
4) 보안 관련 자격을 보유하고 계신 분
   - 정보보안기사
   - CISA(국제공인 정보시스템감사사)
   - CISSP(국제공인 정보보안전문가)
5) 개인정보보호 ISMS/PIMS 교육 수료자
혜택 및 복지
● 조직문화
 • 수평적 조직문화 : 직급이 아닌 상호 간 '님'으로 호칭합니다.
 • 자유로운 연차사용 : 연차 사용 시 사유불문! 자유로운 연차 사용이 가능합니다.
 • 사내 식당에서 맛있는 중식/석식 제공해드립니다.
 • 식사 대신 간편식을 즐길 수 있습니다.

● 근무환경
 • 스마트 오피스 : 자율 좌석을 통해 스마트한 근무환경 제공합니다.
 • 사내 어린이집 : 육아 걱정없는 업무 몰입을 위해 사내 어린이집을 운영합니다.
 • 까페테리아  : 임직원 가격으로 할인된 가격에 음료를 제공해드립니다.
 • 안마 의자 및 캡슐룸 : 근무 중 피로 회복/휴식을 위한 시설을 제공해드립니다.

● 교육/생활
 • 신입사원교육(OJT)운영을 통해 원활한 적응을 도와드립니다.
 • 사내/외 교육, 사이버 연수원 등 교육비 지원 등 다방면으로 성장을 지원합니다.
 • 사내 동호회를 통해 친목을 도모합니다. 

● 지원금/보험
 • 종합건강검진
 • 경조금 지원 : 좋은 날엔 축하금을, 슬픈 날엔 위로금 지원합니다.
 • 임직원몰 : 사내 임직원몰 내 다양한 상품을 직원가에 구입이 가능합니다.
 • 자녀의 학자금을 지원해드립니다.
 
● 선물
 • 명절선물 : 다양한 품목 중 선택하여 상품을 지급해드립니다.
 • 생일자 조기퇴근제 : 생일 당사자 조기 퇴근이 가능합니다.
 • 장기근속제도 : 5/10/20년 장기 근무 시 포상금을 지급해드립니다."
e커머스 시스템 개발/운영,아이디에스앤트러스트,서울.한국,"
[저희는 이런 분을 찾고 있습니다!]
1) 자바 개발 경력을 3년 이상 보유하신 분(커머스 업무 우대)
2) Java 풀스텍 개발 및 웹 서비스 개발 경험을 보유하신 분
3) Java, Servlet, Spring Boot, Struts, Oracle, Redis 환경 개발 경험을 보유하신 분
4) 타 부서와의 원활한 커뮤니케이션이 가능하신 분
우대사항","
[이런 분이시라면 대환영!]
1) B2B 사업 서비스 시장에 대한 이해도가 있으신 분
2) 주문 및 결재 관련 업무 경험이 있으신 분
3) SAP 연동 시스템 경험이 있으신 분
혜택 및 복지
● 조직문화
 • 수평적 조직문화 : 직급이 아닌 상호 간 '님'으로 호칭합니다.
 • 자유로운 연차사용 : 연차 사용 시 사유불문! 자유로운 연차 사용이 가능합니다.
 • 사내 식당에서 맛있는 중식/석식 제공해드립니다.
 • 식사 대신 간편식을 즐길 수 있습니다.

● 근무환경
 • 스마트 오피스 : 자율 좌석을 통해 스마트한 근무환경 제공합니다.
 • 사내 어린이집 : 육아 걱정없는 업무 몰입을 위해 사내 어린이집을 운영합니다.
 • 까페테리아  : 임직원 가격으로 할인된 가격에 음료를 제공해드립니다.
 • 안마 의자 및 캡슐룸 : 근무 중 피로 회복/휴식을 위한 시설을 제공해드립니다.

● 교육/생활
 • 신입사원교육(OJT)운영을 통해 원활한 적응을 도와드립니다.
 • 사내/외 교육, 사이버 연수원 등 교육비 지원 등 다방면으로 성장을 지원합니다.
 • 사내 동호회를 통해 친목을 도모합니다. 

● 지원금/보험
 • 종합건강검진
 • 경조금 지원 : 좋은 날엔 축하금을, 슬픈 날엔 위로금 지원합니다.
 • 임직원몰 : 사내 임직원몰 내 다양한 상품을 직원가에 구입이 가능합니다.
 • 자녀의 학자금을 지원해드립니다.
 
● 선물
 • 명절선물 : 다양한 품목 중 선택하여 상품을 지급해드립니다.
 • 생일자 조기퇴근제 : 생일 당사자 조기 퇴근이 가능합니다.
 • 장기근속제도 : 5/10/20년 장기 근무 시 포상금을 지급해드립니다."
소프트웨어 엔지니어,노아에이티에스,서울.한국,"
• Java/Javascript 사용이 능숙한 분
• MSA Architect를 이해하고 설계 및 개발이 가능한 분
• API의 구조를 이해하고 설계 및 개발이 가능한 분
• Event Driven 구조를 이해하고 데이터모델과 관련 프로세스를 정의할 수 있는 분
• 최소 5년 이상의 Java 경험을 보유한 분
우대사항","
• 컴퓨터공학 및 소프트웨어 엔지니어링 관련 석사 이상의 학위 보유
• Spring Framework 구축 경험 보유
• 지속적인 Version upgrade 가능 Package Software 구현 경험
혜택 및 복지
[기본연봉 및 성과급]
 • 면접 완료 후 협의
 • 최소 1억원 이상

[복리후생]
 • 의료/건강 : 정기건강검진
 • 출산/육아 : 산전 후 휴가, 육아휴직, 남성출산휴가
 • 근무환경 : 회의실, 노트북, 회사 다이어리, 음료제공(차, 커피), 각종 경조사 지원
 • 교육/훈련 : 직무능력향상교육
 • 휴일/휴가 : 연차, 반차, 경조휴가제, 근로자의 날 휴무, 대체 공휴일 휴무, 코로나 백신공가
 • 보험/연금 : 4대보험, 퇴직연금, 출장보험"
"모바일(iOS, React) 애플리케이션 개발",이노소니언,서울.한국,"
- Swift 또는 React 로 구현한 애플리케이션 개발 경험이 요구됩니다.
- AppStore 또는 TestFlight 애플리케이션을 등록한 경험이 있어야 합니다.
- Git 을 자유롭게 사용할 수 있어야 합니다.
우대사항","
- TDD 경험은 매우 도움이 됩니다.
- Xcode의 Storyboard 와 UIkit 사용 경험은 매우 도움이 됩니다.
- Trello, Jira 등 칸반 활용 경험은 도움이 됩니다.
- Alamofire 등 Rest API 활용 경험은 도움이 됩니다.
혜택 및 복지
• 유연근무제 시행 : 08:00 ~ 16:00 또는 11:00 ~ 19:00
• 식대 지원
• 자기개발/성장 지원
  - 연간 총 200만원 한도 지원 (교육, 도서구매, 체력단련비 등 세부 지침에 따름)
  - 업무 직접관련 교육 및 컨퍼런스, 전시회 참가비 등은 전액 지원
• Team building 전사 해외워크샵 연 1회 (펜데믹 기간 국내 여행으로 대체)
• 월 6만원 내 통신비 지원
• 다양한 커피, 수많은 종류의 음료 및 맛있는 간식 제공
• 독감예방주사 단체접종 (연 1회)
• 역량과 기여에 따른 스톡옵션 기회

-------------------------------------------------

이노소니언 개발팀은 이러한 문화를 지향합니다.

자발적이고 창의적인 환경을 유지하기 위해 심리적 안전감을 중요하게 여깁니다.
- 궁금하면 물어보고 알면 성의껏 설명합니다.
- 의견, 태도 또는 결과에 대해 비판할 수 있습니다. 그러나 사람을 비난하지 않습니다.
- 서로 다름을 존중합니다. 성별,  성 정체성, 국적, 인종, 지역, 종교, 나이 등과 관계 없이 상호 동등하게 대우합니다.

내적 동기와 성장 욕구를 중요하게 여깁니다.
- 일에 기대와 즐거움이 있습니다. 업무가 곧 자기 전문성 향상입니다.
- 최선의 방식으로 일할 수 있도록 서로 돕습니다.
- 배우는 방법을 배울 수 있도록 서로 돕습니다.

구체적인 목적과 근거 기반으로 설득합니다.
- 누구에게 어떤 가치를 전달하기 위해 무슨 작업이 필요한지 이해하고 진심을 다해 일합니다.
- 정보는 투명하게 공개합니다."
